Card Name,Card Code,Copies Possessed (out of 3),Class,Traits,Card Type,Card Cost,Attack,Defense,Artist,Promo Obtain Source (if PR in code),Art URL
Gods' Loving Smite,BP13-P23EN,0,Havencraft,Faith,Spell,2,-,-,IGARASHI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P23EN.png
Turquoise Sister,BP13-P24EN,0,Havencraft,Faith,Follower,7,4,7,Akefumi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P24EN.png
"Grimnir, Voidwrought Wind",BP13-P25EN,0,Neutral,Lightborne|Cutthroat,Follower,3,3,4,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P25EN.png
Managrocer,BP13-P26EN,0,Neutral,Merchant,Follower,4,4,4,NASARU,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P26EN.png
Managrocer,BP13-P27EN,0,Neutral,Merchant,Follower / Evolved,-,5,5,NASARU,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P27EN.png
Fallen Harpist,BP13-P28EN,0,Neutral,Fallen Angel,Follower,3,3,4,Onineko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P28EN.png
Anne's Summoning,BP13-P29EN,0,Runecraft,Golem|Arcanaform|Academic,Follower / Token,2,4,4,Nejita,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P29EN.png
Resentful Blaze,BP13-P30EN,0,Runecraft,Mage|Academic|Princess|Cutthroat,Spell / Token,1,-,-,ko-yahu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P30EN.png
Blood Arts,BP13-P31EN,0,Abysscraft,Wasteland|Vampire,Spell / Token,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P31EN.png
Darkest Desire,BP13-P32EN,0,Abysscraft,Departed|Cutthroat,Spell / Token,1,-,-,Manabi Okada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-P32EN.png
"Sekka, Fatebound Fox",BP13-SL01EN,0,Forestcraft,Wasteland|Hunter|Beast,Follower,1,1,1,Onineko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL01EN.png
"Sekka, Ninefold Blaze",BP13-SL02EN,0,Forestcraft,Wasteland|Hunter|Beast,Follower / Advanced,3,3,3,Onineko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL02EN.png
"Aria, Miasma Fairy",BP13-SL03EN,0,Forestcraft,Pixie|Princess|Cutthroat,Follower,3,3,3,Isuka Harada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL03EN.png
"Aria, Miasma Fairy",BP13-SL04EN,0,Forestcraft,Pixie|Princess|Cutthroat,Follower / Evolved,-,4,4,Isuka Harada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL04EN.png
"Albert, Thunderous Doom",BP13-SL05EN,0,Swordcraft,Commander|Levin|Cutthroat,Follower,6,3,5,ell,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL05EN.png
"Albert, Thunderous Doom",BP13-SL06EN,0,Swordcraft,Commander|Levin|Cutthroat,Follower / Evolved,-,4,6,ell,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL06EN.png
Magna Zero,BP13-SL07EN,0,Swordcraft,Machina|Supreme|Magna|Cutthroat,Follower,7,5,5,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL07EN.png
"Anne, Mysterian Imperatrix",BP13-SL08EN,0,Runecraft,Mage|Academic|Princess|Cutthroat,Follower,2,2,2,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL08EN.png
"Ghios, Sparkling Prism",BP13-SL09EN,0,Runecraft,Mage,Follower,3,3,3,ezusuke,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL09EN.png
"Ghios, Sparkling Prism",BP13-SL10EN,0,Runecraft,Mage,Follower / Evolved,-,5,5,ezusuke,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL10EN.png
Rending Blast,BP13-SL11EN,0,Runecraft,Mage|Academic|Princess|Cutthroat,Spell / Advanced,3,-,-,ko-yahu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL11EN.png
"Drache, Fiery Dragonlord",BP13-SL12EN,0,Dragoncraft,Wasteland|Dragonewt|Draconic Duelist,Follower,4,4,3,Manabi Okada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL12EN.png
"Drache, Fiery Dragonlord",BP13-SL13EN,0,Dragoncraft,Wasteland|Dragonewt|Draconic Duelist,Follower / Evolved,-,6,5,Manabi Okada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL13EN.png
"Forte, Sovereign Supreme",BP13-SL14EN,0,Dragoncraft,Dragonheart|Cutthroat|Draconic Duelist,Follower,10,5,9,Mikeboshi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL14EN.png
"Aluzard, Timeworn Vampire",BP13-SL15EN,0,Abysscraft,Wasteland|Vampire,Follower,2,2,2,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL15EN.png
"Aluzard, Timeworn Vampire",BP13-SL16EN,0,Abysscraft,Wasteland|Vampire,Follower / Evolved,-,3,3,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL16EN.png
"Laura, Crimson Strife",BP13-SL17EN,0,Abysscraft,Demon|Cutthroat,Follower,2,3,2,ko-yahu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL17EN.png
"Jeanne, Despair's Maiden",BP13-SL18EN,0,Havencraft,Zealot|Cutthroat,Follower,2,3,2,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL18EN.png
"Jeanne, Despair's Maiden",BP13-SL19EN,0,Havencraft,Zealot|Cutthroat,Follower / Evolved,-,6,5,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL19EN.png
"Jatelant, God of Prosperity",BP13-SL20EN,0,Havencraft,Faith|Beast,Follower,6,5,5,SEMSEI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL20EN.png
Sahaquiel & Israfil,BP13-SL21EN,0,Neutral,Angel|Deity,Follower,7,6,6,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL21EN.png
Sahaquiel & Israfil,BP13-SL22EN,0,Neutral,Angel|Deity,Follower / Evolved,-,7,7,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL22EN.png
Planetary Fracture,BP13-SL23EN,0,Neutral,Deity|Archfiend|Cutthroat,Spell,8,-,-,Joshua Hutchinson,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SL23EN.png
"Sekka, Ninefold Blaze",BP13-SP01EN,0,Forestcraft,Wasteland|Hunter|Beast,Follower / Advanced,3,3,3,Ponzu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SP01EN.png
Jeanne d'Arc,BP13-SP02EN,0,Havencraft,Luminary,Follower,4,3,4,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-SP02EN.png
Anne's Summoning,BP13-T01EN,0,Runecraft,Golem|Arcanaform|Academic,Follower / Token,2,4,4,Nejita,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T01EN.png
Resentful Blaze,BP13-T02EN,0,Runecraft,Mage|Academic|Princess|Cutthroat,Spell / Token,1,-,-,ko-yahu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T02EN.png
Blood Arts,BP13-T03EN,0,Abysscraft,Wasteland|Vampire,Spell / Token,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T03EN.png
Darkest Desire,BP13-T04EN,0,Abysscraft,Departed|Cutthroat,Spell / Token,1,-,-,Manabi Okada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T04EN.png
Keenedge Artifact,BP13-T05EN,0,Neutral,Supreme,Follower / Token,5,3,4,Shukei,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T05EN.png
Fairy Wisp,BP13-T06EN,0,Forestcraft,Pixie,Follower / Token,0,1,1,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T06EN.png
Fairy,BP13-T07EN,0,Forestcraft,Pixie,Follower / Token,1,1,1,HIROSHI KAIEDA,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T07EN.png
Steelclad Knight,BP13-T08EN,0,Swordcraft,Officer,Follower / Token,2,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T08EN.png
Shield Guardian,BP13-T09EN,0,Swordcraft,Officer,Follower / Token,1,1,1,LQH,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T09EN.png
Dragon,BP13-T10EN,0,Dragoncraft,Wyrmkin,Follower / Token,4,5,5,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T10EN.png
Ghost,BP13-T11EN,0,Abysscraft,Departed,Follower / Token,1,1,1,GING,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T11EN.png
Mystic Artifact,BP13-T12EN,0,Neutral,Supreme,Follower / Token,3,2,3,ZOUNOSE,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-T12EN.png
"Sekka, Fatebound Fox",BP13-U01EN,0,Forestcraft,Wasteland|Hunter|Beast,Follower,1,1,1,Onineko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-U01EN.png
Magna Zero,BP13-U02EN,0,Swordcraft,Machina|Supreme|Magna|Cutthroat,Follower,7,5,5,Nadare,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-U02EN.png
"Ghios, Sparkling Prism",BP13-U03EN,0,Runecraft,Mage,Follower / Evolved,-,5,5,u-suke,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-U03EN.png
"Drache, Fiery Dragonlord",BP13-U04EN,0,Dragoncraft,Wasteland|Dragonewt|Draconic Duelist,Follower / Evolved,-,6,5,Manabi Okada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-U04EN.png
"Laura, Crimson Strife",BP13-U05EN,0,Abysscraft,Demon|Cutthroat,Follower,2,3,2,ko-yahu,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-U05EN.png
"Jeanne, Despair's Maiden",BP13-U06EN,0,Havencraft,Zealot|Cutthroat,Follower / Evolved,-,6,5,Soji Hisakata,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-U06EN.png
Sahaquiel & Israfil,BP13-U07EN,0,Neutral,Angel|Deity,Follower / Evolved,-,7,7,Onineko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP13/BP13-U07EN.png
"Hozumi, Enchanting Hostess",BP14-001EN,0,Forestcraft,Festive|Beast,Follower,3,2,2,N.A,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-001EN.png
"Hozumi, Enchanting Hostess",BP14-002EN,0,Forestcraft,Festive|Beast,Follower / Evolved,-,3,3,N.A,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-002EN.png
"Levon, Scentbound Sword",BP14-003EN,0,Forestcraft,Hunter,Follower,5,4,4,LM7,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-003EN.png
Bastion of Seasons,BP14-004EN,0,Forestcraft,Fae-Touched|Verdant,Follower,4,2,4,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-004EN.png
Bastion of Seasons,BP14-005EN,0,Forestcraft,Fae-Touched|Verdant,Follower / Evolved,-,3,5,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-005EN.png
Spirit of the Spring,BP14-006EN,0,Forestcraft,Fae-Touched,Follower,2,2,3,Mikeboshi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-006EN.png
Illusions of Comfort,BP14-007EN,0,Forestcraft,Festive|Beast,Spell,2,-,-,77gl,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-007EN.png
Elven Waitress,BP14-008EN,0,Forestcraft,Festive|Elf,Follower,2,2,2,Ryohei,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-008EN.png
Elven Waitress,BP14-009EN,0,Forestcraft,Festive|Elf,Follower / Evolved,-,3,3,Ryohei,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-009EN.png
Tinkering Shopkeeper,BP14-010EN,0,Forestcraft,Festive|Puppetry|Supreme,Follower,1,2,1,hatozake,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-010EN.png
Craftsman's Pride,BP14-011EN,0,Forestcraft,Puppetry,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-011EN.png
Karakuri Servant,BP14-012EN,0,Forestcraft,Festive|Puppetry|Supreme,Follower,2,2,2,Mew,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-012EN.png
Karakuri Servant,BP14-013EN,0,Forestcraft,Festive|Puppetry|Supreme,Follower / Evolved,-,3,3,Mew,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-013EN.png
Fairylight Guide,BP14-014EN,0,Forestcraft,Festive|Pixie,Follower,2,2,2,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-014EN.png
Woodland Pest Control,BP14-015EN,0,Forestcraft,Hunter|Beast,Follower,2,2,1,Budi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-015EN.png
Windswept Lancer,BP14-016EN,0,Forestcraft,Elf|Hunter,Follower,4,4,4,donfoo,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-016EN.png
Elven Craftsmanship,BP14-017EN,0,Forestcraft,Elf|Hunter,Spell,2,-,-,Maki,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-017EN.png
"Taketsumi, Aconite Paladin",BP14-018EN,0,Swordcraft,Festive|Commander,Follower,2,2,3,ell,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-018EN.png
"Taketsumi, Creator of Paradise",BP14-019EN,0,Swordcraft,Festive|Commander,Follower / Advanced,4,5,6,ell,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-019EN.png
"Mars, Belligerent Flame",BP14-020EN,0,Swordcraft,Commander|Celestial,Follower,3,2,3,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-020EN.png
"Mars, Belligerent Flame",BP14-021EN,0,Swordcraft,Commander|Celestial,Follower / Evolved,-,3,4,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-021EN.png
"Jiemon, Thief Lord",BP14-022EN,0,Swordcraft,Festive|Commander|Thief,Follower,4,3,4,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-022EN.png
"Jiemon, Thief Lord",BP14-023EN,0,Swordcraft,Festive|Commander|Thief,Follower / Evolved,-,4,5,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-023EN.png
Bumpkin Recruit,BP14-024EN,0,Swordcraft,Officer,Follower,1,1,1,Makihitsuji,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-024EN.png
Hero of the Hunt,BP14-025EN,0,Swordcraft,Festive|Commander,Spell,3,-,-,hatozake,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-025EN.png
Masterful Musician,BP14-026EN,0,Swordcraft,Festive|Thief,Follower,3,3,3,Mew,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-026EN.png
Masterful Musician,BP14-027EN,0,Swordcraft,Festive|Thief,Follower / Evolved,-,4,4,Mew,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-027EN.png
War Hero,BP14-028EN,0,Swordcraft,Officer,Follower,5,4,4,BIYO,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-028EN.png
Noble Shieldmaiden,BP14-029EN,0,Swordcraft,Commander|Noble,Follower,7,6,5,Chiaki Negishi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-029EN.png
Front Desk Frog,BP14-030EN,0,Swordcraft,Festive|Thief|Beast,Follower,2,2,2,Hisanobu Kometani,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-030EN.png
Front Desk Frog,BP14-031EN,0,Swordcraft,Festive|Thief|Beast,Follower / Evolved,-,3,3,Hisanobu Kometani,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-031EN.png
Violent Soldier,BP14-032EN,0,Swordcraft,Officer,Follower,6,6,5,Tsune-kun,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-032EN.png
Hasty Axeman,BP14-033EN,0,Swordcraft,Officer,Follower,5,7,6,donfoo,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-033EN.png
Night on the Town,BP14-034EN,0,Swordcraft,Festive|Commander|Thief,Spell,1,-,-,ni02,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-034EN.png
Haggler's Gambit,BP14-035EN,0,Swordcraft,Merchant,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-035EN.png
"Yukishima, Master Biographer",BP14-036EN,0,Runecraft,Festive|Mage|Forbidden,Follower,4,3,5,liiko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-036EN.png
"Riley, Astral Shaman",BP14-037EN,0,Runecraft,Mage,Follower,2,2,2,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-037EN.png
"Riley, Astral Shaman",BP14-038EN,0,Runecraft,Mage,Follower / Evolved,-,3,3,irua,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-038EN.png
"Bergent, Layered Sorceress",BP14-039EN,0,Runecraft,Mage|Arcanaform,Follower,2,2,2,liiko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-039EN.png
"Bergent, Layered Sorceress",BP14-040EN,0,Runecraft,Mage|Arcanaform,Follower / Evolved,-,3,3,liiko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-040EN.png
Arctic Chimera,BP14-041EN,0,Runecraft,Arcanaform|Forbidden,Follower,6,5,5,Kazashino,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-041EN.png
Story of a Lifetime,BP14-042EN,0,Runecraft,Festive|Mage|Forbidden,Spell,3,-,-,AOGIRI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-042EN.png
Orchestral Mage,BP14-043EN,0,Runecraft,Festive|Mage|Forbidden,Follower,3,3,3,Rwael,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-043EN.png
Orchestral Mage,BP14-044EN,0,Runecraft,Festive|Mage|Forbidden,Follower / Evolved,-,4,4,Rwael,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-044EN.png
Tempestuous Alchemist,BP14-045EN,0,Runecraft,Alchemist,Follower,3,3,3,hatozake,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-045EN.png
Dream Come True,BP14-046EN,0,Runecraft,Arcanaform,Spell,7,-,-,Onineko,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-046EN.png
Chakram Wizard,BP14-047EN,0,Runecraft,Mage,Follower,3,2,2,TEDDY,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-047EN.png
Chakram Wizard,BP14-048EN,0,Runecraft,Mage,Follower / Evolved,-,3,3,TEDDY,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-048EN.png
Owl Receptionist,BP14-049EN,0,Runecraft,Festive|Arcanaform|Forbidden,Follower,3,1,1,Isuka Harada,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-049EN.png
Earthen Fist,BP14-050EN,0,Runecraft,Mage,Spell,3,-,-,SEMSEI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-050EN.png
Magical Reserves,BP14-051EN,0,Runecraft,Mage,Spell,6,-,-,HagiOs,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-051EN.png
Grand Spire,BP14-052EN,0,Runecraft,Mage|Earth Sigil,Amulet,1,-,-,Melodyoflost,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-052EN.png
"Si Long, Draconic God-Queen",BP14-053EN,0,Dragoncraft,Festive|Dragonewt,Follower,3,3,3,ShuLa,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-053EN.png
"Si Long, Draconic God-Queen",BP14-054EN,0,Dragoncraft,Festive|Dragonewt,Follower / Evolved,-,4,4,ShuLa,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-054EN.png
Sacred Springs Dragon,BP14-055EN,0,Dragoncraft,Festive|Wyrmkin,Follower,5,5,5,Nejita,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-055EN.png
Frostbite Dragon,BP14-056EN,0,Dragoncraft,Wyrmkin,Follower,7,5,5,Mstk,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-056EN.png
Frostbite Dragon,BP14-057EN,0,Dragoncraft,Wyrmkin,Follower / Evolved,-,6,6,Mstk,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-057EN.png
Dragonskull Bludgeoner,BP14-058EN,0,Dragoncraft,Wyrmkin|Cutthroat|Draconic Duelist,Follower,1,2,2,SEMSEI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-058EN.png
Soothing Dragonspring,BP14-059EN,0,Dragoncraft,Festive|Wyrmkin,Amulet,3,-,-,YOSHIHARA,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-059EN.png
Dragonfolk Stoker,BP14-060EN,0,Dragoncraft,Festive|Dragonewt,Follower,2,2,2,monokuro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-060EN.png
Dragonfolk Stoker,BP14-061EN,0,Dragoncraft,Festive|Dragonewt,Follower / Evolved,-,3,3,monokuro,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-061EN.png
"Leviathan, the Furious",BP14-062EN,0,Dragoncraft,Wyrmkin|Marine,Follower,4,5,4,Hisanobu Kometani,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-062EN.png
March of the Dragonspring,BP14-063EN,0,Dragoncraft,Festive|Wyrmkin,Spell,4,-,-,SEMSEI,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-063EN.png
Dragon Breeder,BP14-064EN,0,Dragoncraft,Dragonheart,Follower,1,1,1,HagiOs,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-064EN.png
Dragon Breeder,BP14-065EN,0,Dragoncraft,Dragonheart,Follower / Evolved,-,2,2,HagiOs,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-065EN.png
Dragon-Drawn Carriage,BP14-066EN,0,Dragoncraft,Festive|Wyrmkin,Follower,2,2,3,NASARU,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-066EN.png
Loyal Sea Serpent,BP14-067EN,0,Dragoncraft,Dragonheart|Marine,Follower,2,2,3,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-067EN.png
Mermaid Song,BP14-068EN,0,Dragoncraft,Marine,Spell,3,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-068EN.png
Aquatic Authority,BP14-069EN,0,Dragoncraft,Dragonheart|Marine,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-069EN.png
"Itsurugi, Eager Admirer",BP14-070EN,0,Abysscraft,Festive|Demon|Beast,Follower,2,3,2,Mikeboshi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-070EN.png
"Itsurugi, Paradise's End",BP14-071EN,0,Abysscraft,Festive|Demon|Beast,Follower / Advanced,4,6,5,Mikeboshi,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-071EN.png
"Paracelise, Demon of Greed",BP14-072EN,0,Abysscraft,Festive|Demon,Follower,3,3,3,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-072EN.png
"Paracelise, Demon of Greed",BP14-073EN,0,Abysscraft,Festive|Demon,Follower / Evolved,-,4,4,Nijihara,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-073EN.png
"Anisage, Lost Forsaken",BP14-074EN,0,Abysscraft,Festive|Departed,Follower,2,2,2,HSN,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-074EN.png
"Anisage, Lost Forsaken",BP14-075EN,0,Abysscraft,Festive|Departed,Follower / Evolved,-,3,3,HSN,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-075EN.png
Frigid Necromancer,BP14-076EN,0,Abysscraft,Necromancer,Follower,6,5,5,Makihitsuji,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-076EN.png
Eternal Contract,BP14-077EN,0,Abysscraft,Festive|Demon,Spell,1,-,-,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-077EN.png
Briared Vampire,BP14-078EN,0,Abysscraft,Vampire,Follower,1,1,1,Uncredited,,https://en.shadowverse-evolve.com/wordpress/wp-content/images/cardlist/BP14/BP14-078EN.png
